method,success_rate_mean,success_rate_std,avg_hops_mean,avg_hops_std,avg_total_delay_mean,avg_total_delay_std,avg_total_bandwidth_mean,avg_total_bandwidth_std,avg_path_reward_mean,avg_path_reward_std
Q-Learning,1.0,0.0,2.466666666666667,0.16329931618554508,14.0,1.0327955589886444,20.666666666666668,2.5298221281347035,1.5111111111111113,0.215595643465914
ShortestHopBaseline,1.0,0.0,2.3333333333333335,0.0,14.333333333333334,0.0,18.333333333333332,0.0,1.3333333333333333,0.0
