policy,reward,sla_rate,mean_cost,mean_latency_ms
DQN,-10.98,0.0880,0.0219,789.3
PPO,-9.29,0.0858,0.0343,788.5
Rule-based,-20.44,0.0910,0.0090,839.5
Static,-25.41,0.1040,0.0000,1127.9
