name,gamma,alpha,epsilon,episodes,goal_rate,trap_rate,mean_steps,v_start,v_mean_free
baseline,0.9,0.8,0.1,25000,0.969840,0.030160,9.6074,0.478297,0.553278
high_alpha,0.9,0.95,0.1,25000,0.969800,0.030200,9.6037,0.478297,0.569615
low_alpha,0.9,0.3,0.1,25000,0.968480,0.031520,9.6147,0.478297,0.522942
high_epsilon,0.9,0.8,0.35,25000,0.837160,0.162840,12.0569,0.478297,0.596740
low_gamma,0.6,0.8,0.1,25000,0.969800,0.030200,9.6034,0.027994,0.195201
