method,path_reward_mean,path_reward_std,total_bandwidth_mean,total_bandwidth_std,total_delay_mean,total_delay_std,hops_mean,hops_std
Q-Learning,1.8250000000000004,0.09090593428863095,25.3,0.9,17.5,1.284523257866513,3.0,0.0
Baseline,1.7083333333333333,0.0,24.0,0.0,19.0,0.0,3.0,0.0
